"data";"valor"
"01/01/2013";"18,79"
"01/02/2013";"19,03"
"01/03/2013";"18,78"
"01/04/2013";"18,57"
"01/05/2013";"18,30"
"01/06/2013";"18,05"
"01/07/2013";"17,85"
"01/08/2013";"17,67"
"01/09/2013";"17,67"
"01/10/2013";"17,50"
"01/11/2013";"17,38"
"01/12/2013";"16,88"
"01/01/2014";"17,02"
"01/02/2014";"17,45"
"01/03/2014";"17,42"
"01/04/2014";"17,42"
"01/05/2014";"17,36"
"01/06/2014";"17,56"
"01/07/2014";"17,38"
"01/08/2014";"17,38"
"01/09/2014";"17,40"
"01/10/2014";"17,44"
"01/11/2014";"17,41"
"01/12/2014";"16,93"
"01/01/2015";"17,30"
"01/02/2015";"17,78"
"01/03/2015";"17,73"
"01/04/2015";"17,96"
"01/05/2015";"18,21"
"01/06/2015";"18,43"
"01/07/2015";"18,61"
"01/08/2015";"18,79"
"01/09/2015";"19,07"
"01/10/2015";"19,20"
"01/11/2015";"19,50"
"01/12/2015";"18,97"
"01/01/2016";"19,45"
"01/02/2016";"19,87"
"01/03/2016";"19,90"
"01/04/2016";"20,21"
"01/05/2016";"20,43"
"01/06/2016";"20,53"
"01/07/2016";"20,56"
"01/08/2016";"20,73"
"01/09/2016";"20,96"
"01/10/2016";"21,15"
"01/11/2016";"21,15"
"01/12/2016";"20,52"
"01/01/2017";"20,90"
"01/02/2017";"21,21"
"01/03/2017";"21,09"
"01/04/2017";"20,57"
"01/05/2017";"20,41"
"01/06/2017";"20,17"
"01/07/2017";"20,21"
"01/08/2017";"20,14"
"01/09/2017";"19,82"
"01/10/2017";"20,11"
"01/11/2017";"20,03"
"01/12/2017";"19,29"
"01/01/2018";"19,53"
"01/02/2018";"19,94"
"01/03/2018";"19,81"
"01/04/2018";"19,96"
"01/05/2018";"19,66"
"01/06/2018";"19,58"
"01/07/2018";"19,34"
"01/08/2018";"19,25"
"01/09/2018";"19,15"
"01/10/2018";"19,22"
"01/11/2018";"19,25"
"01/12/2018";"18,92"
"01/01/2019";"19,31"
"01/02/2019";"19,72"
"01/03/2019";"19,77"
"01/04/2019";"20,04"
"01/05/2019";"20,10"
"01/06/2019";"20,31"
"01/07/2019";"20,26"
"01/08/2019";"20,36"
"01/09/2019";"20,35"
"01/10/2019";"20,29"
"01/11/2019";"20,19"
"01/12/2019";"19,63"
"01/01/2020";"19,27"
"01/02/2020";"19,54"
"01/03/2020";"19,73"
"01/04/2020";"19,74"
"01/05/2020";"19,27"
"01/06/2020";"18,69"
"01/07/2020";"18,31"
"01/08/2020";"17,88"
"01/09/2020";"17,50"
"01/10/2020";"17,27"
"01/11/2020";"16,97"
"01/12/2020";"16,63"
"01/01/2021";"16,84"
"01/02/2021";"17,09"
"01/03/2021";"17,03"
"01/04/2021";"17,00"
"01/05/2021";"16,85"
"01/06/2021";"16,78"
"01/07/2021";"16,67"
"01/08/2021";"16,65"
"01/09/2021";"16,73"
"01/10/2021";"16,85"
"01/11/2021";"16,87"
"01/12/2021";"16,80"
"01/01/2022";"17,27"
